id_empresa;cod_provincia;ciiu1;ciiu2;ciiu3;Ventas_2012;Ventas_2013;Ventas_2014;Export_2012;Export_2013;Export_2014;Invcap_2012;Invcap_2013;Invcap_2014;ID_2012;ID_2013;ID_2014;oaiact_2012;oaiact_2013;oaiact_2014;tipo;emp_inves;emp_tipo;fexp
44377678220;Orellana;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO;100000;118800;127812;0;0;0;0;0;12000;0;0;0;0;0;0;Privada;Innnovación;Privada;1,2
44377680178;Pichincha;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;SUMINISTRO DE COMIDAS POR ENCARGO Y OTRAS ACTIVIDADES DE SERVICIO DE COMIDAS;4000000;4600000;4381327;0;0;0;285000;50000;0;0;0;0;289000;7000;5000;Pública;Innnovación;Pública;1,06733167082294
44377682014;Azuay;CONSTRUCCIÓN;ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN;OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN;800000;953547;971822;0;0;0;0;20000;20000;0;0;0;0;0;0;Privada;Innnovación;Privada;2,52739726027397
44378416067;Santa Elena;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS;768866;1409376;1616242;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,36
44379127069;Chimborazo;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS;877312;919333;798014;0;0;0;20000;2000;2000;0;0;0;15411;0;0;Privada;Innnovación;Privada;1,23809523809524
44379418101;Imbabura;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS;300000;500000;600000;0;0;0;50000;50000;100000;2000;0;0;15000;2000;2400;Privada;Innnovación;Privada;1,1875
44379510181;Tungurahua;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA;855391;1470865;1596073;0;0;0;0;10000;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,72307692307692
44379748012;Azuay;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES;12000;900000;900000;0;0;0;1000;200000;200000;0;0;0;0;0;0;Privada;Innnovación;Privada;2,40449438202247
44381202132;Manabí;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS;196081;304583;575825;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,58333333333333
44381467012;Azuay;EXPLOTACIÓN DE MINAS Y CANTERAS;EXTRACCIÓN DE MINERALES METALÍFEROS;EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS;0;402845;358007;0;323151;223009;2480;178667;32242;0;0;0;0;0;0;Privada;Innnovación;Privada;1,44117647058824
